TumoID,BirthDate,Classification,Status,StudentSchedule,AttendingSince,RetentionByMonths,RetentionGrouped,Age,Present,PresenceRatio
2.50316E+11,8-Oct-11,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,13,17,85
2.50316E+11,11-Aug-11,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,13,23,95
2.50316E+11,20-Jun-12,T,Active,Friday 15:30,7-Apr-25,3,0.1 - 0.5 Year,13,19,90
2.50316E+11,22-Feb-13,T,Active,Saturday 17:30,9-Apr-25,3,0.1 - 0.5 Year,12,16,66
2.50316E+11,11-Jul-12,U,Active,Monday 19:30,7-Apr-25,3,0.1 - 0.5 Year,13,27,93
2.31128E+11,27-Jul-11,M,Active,Saturday 13:30,13-Mar-24,16,1 - 1.5 Year,14,82,87
2.31128E+11,3-Feb-11,U,Active,Wednesday 17:30,13-Mar-24,16,1 - 1.5 Year,14,80,86
2.30425E+11,10-Nov-09,U,Suspended,Saturday 13:30,11-Nov-23,20,1.5 - 2 Year,15,89,78
2.2091E+11,25-May-09,O,Suspended,Friday 15:30,15-Oct-22,33,2.5 - 3 Year,16,199,89
2.10531E+11,7-May-09,O,Active,Sunday 13:30,21-Jun-21,49,3+ Year,16,199,82
2.1031E+11,20-Nov-08,M,Active,Thursday 17:30,6-Mar-25,4,0.1 - 0.5 Year,16,230,94
2.10722E+11,5-May-08,U,Active,Friday 17:30,15-Oct-21,45,3+ Year,17,154,77
2.50316E+11,20-Jul-11,T,Active,Thursday 19:30,10-Apr-25,3,0.1 - 0.5 Year,14,27,96
2.50316E+11,28-May-12,T,Active,Saturday 15:30,9-Apr-25,3,0.1 - 0.5 Year,13,17,89
2.50316E+11,18-Nov-11,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,13,20,80
2.50316E+11,8-Oct-12,T,Suspended,Saturday 19:30,9-Apr-25,3,0.1 - 0.5 Year,12,20,86
2.41125E+11,9-Nov-12,U,Active,Friday 19:30,2-Dec-24,7,0.5 - 1 Year,12,37,86
2.50316E+11,11-Jun-12,T,Active,Saturday 09:30,8-Apr-25,3,0.1 - 0.5 Year,13,16,80
2.50316E+11,20-Aug-12,T,Active,Sunday 13:30,11-May-25,2,0.1 - 0.5 Year,12,13,76
2.50316E+11,28-Mar-12,T,Suspended,Tuesday 19:30,8-Apr-25,3,0.1 - 0.5 Year,13,14,58
2.4112E+11,5-Sep-12,U,Freeze,Wednesday 15:30,4-Dec-24,7,0.5 - 1 Year,12,32,74
2.31116E+11,9-Nov-11,U,Freeze,Sunday 11:30,15-Feb-24,17,1 - 1.5 Year,13,55,56
2.50317E+11,4-Nov-10,T,Active,Saturday 09:30,6-May-25,2,0.1 - 0.5 Year,14,12,80
2.50317E+11,10-Sep-11,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,13,20,83
2.50317E+11,29-Jan-13,T,Active,Tuesday 19:30,8-Apr-25,3,0.1 - 0.5 Year,12,15,71
2.50317E+11,25-Aug-12,T,Active,Thursday 19:30,10-Apr-25,3,0.1 - 0.5 Year,12,22,91
2.50318E+11,15-Nov-11,T,Active,Thursday 15:30,10-Apr-25,3,0.1 - 0.5 Year,13,21,87
2.50318E+11,8-Jan-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,22,91
2.50318E+11,26-Feb-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,27,79
2.50318E+11,9-Jun-12,T,Active,Sunday 15:30,8-Apr-25,3,0.1 - 0.5 Year,13,15,75
2.50318E+11,16-Feb-12,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,13,18,94
2.50318E+11,16-Dec-12,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,24,88
2.50318E+11,1-Mar-13,T,Active,Tuesday 19:30,8-Apr-25,3,0.1 - 0.5 Year,12,17,85
2.50318E+11,3-Jul-12,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,13,22,91
2.4112E+11,6-Nov-12,U,Active,Sunday 15:30,3-Dec-24,7,0.5 - 1 Year,12,42,75
2.31116E+11,2-Jun-11,M,Suspended,Thursday 17:30,14-Mar-24,16,1 - 1.5 Year,14,88,84
2.30223E+11,13-Sep-10,U,Active,Saturday 11:30,30-Jun-23,25,2 - 2.5 Year,14,84,70
2.20524E+11,9-May-10,U,Suspended,Thursday 19:30,17-Oct-22,33,2.5 - 3 Year,15,90,58
2.50318E+11,23-Oct-12,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,29,96
2.50318E+11,19-Feb-13,T,Active,Sunday 09:30,10-Apr-25,3,0.1 - 0.5 Year,12,17,73
2.50318E+11,14-Mar-11,T,Active,Saturday 13:30,12-Apr-25,3,0.1 - 0.5 Year,14,18,94
2.50318E+11,26-Nov-09,T,Active,Wednesday 19:30,9-Apr-25,3,0.1 - 0.5 Year,15,17,89
2.50318E+11,12-Oct-12,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,16,84
2.50318E+11,25-Sep-12,T,Active,Wednesday 19:30,9-Apr-25,3,0.1 - 0.5 Year,12,19,100
